Company;Currency;Year;Fixed Assets;FxAInt;FxATan;FxAOth;CurrAss;CurrInv;CurrARec;CurrAssOth;Cash;TAssets;Equity;Capital;EquOht;NCLiabs;NCLtDebt;NCLiabOth;Provisions;CLiabs;CLoans;CAPay;CLiaboth;TEaLiab;Turnover;Sales;CoS;OthOpEx;Ebit;FinInc;FinExp;PBT;Tax;ExtOrdRev;ExtOrdExp;NetInc;Exp;MatCost;SalWage;Dep;RaD;HdCnt;ExRate;II;Cty;FYE;BvDID
DET NORSKE VERITAS, DANMARK A/S;EUR/DKK;2012;1222,6421399049;0;1222,6421399049;0;16882,7473140526;n.a.;8736,6211756396;n.a.;2767,7864457524;18105,3894539575;8372,7348031868;1339,2947090644;7033,4400941224;1060,721409579;n.a.;n.a.;1060,721409579;8671,7993117208;n.a.;885,0059437497;n.a.;18105,3894539575;43452,6132587678;n.a.;16464,0837879991;19870,1780920916;7118,3513786771;14,5983123288;109,2864482597;7023,6632427462;1809,7889403587;n.a.;n.a.;5213,8743023876;n.a.;n.a.;19479,2379665157;390,9401255759;n.a.;172;0,13393; U;DK;31.12.;DK89832314
DET NORSKE VERITAS, DANMARK A/S;EUR/DKK;2011;1140,6693280462;0;1140,6693280462;0;14824,8003907193;n.a.;8608,1525528675;n.a.;1439,691487981;15965,4697187655;6811,3293354098;1345,1289245828;5466,2004108271;913,3425397917;n.a.;n.a.;913,3425397917;8240,797843564;n.a.;738,4757795959;n.a.;15965,4697187655;38648,10974822;n.a.;16126,6161639305;17372,8781125564;5148,6154717331;41,1609450922;52,3255151663;5137,450901659;1295,4936672657;n.a.;n.a.;3841,9572343933;n.a.;n.a.;17027,1799789387;345,6981336178;n.a.;153;0,13451; U;DK;31.12.;DK89832314
GEO;EUR/DKK;2013;14752,9936024952;79,5750158898;14673,4185866054;0;21988,5595675204;893,9462643649;7097,9842456332;13996,6290575223;8147,0616015813;36741,5531700156;19357,8952795939;1339,6467321518;18018,248547442;8909,5885215221;5960,0883113435;2949,5002101787;3339,2034445616;8474,0693688996;n.a.;1978,1223646954;n.a.;36741,5531700156;44221,3367343121;n.a.;17962,2513140381;22802,3949573026;3456,6904629714;129,9457330187;260,82921875;3325,8069772401;762,2589905944;n.a.;n.a.;2563,5479866457;n.a.;n.a.;17435,7701483024;2312,7661183869;n.a.;221;0,13396; U;DK;31.12.;DK59781812
GEO;EUR/DKK;2012;15221,6200864001;212,5460703285;15009,0740160716;0;19666,2035079011;870,5415608918;7318,4420082113;11477,219938798;6584,2406487022;34887,8235943012;16761,942931295;1339,2947090644;15422,6482222307;8526,7536947292;6343,1676010706;2183,5860936585;2557,6511059002;9599,126968277;n.a.;4402,6634971073;n.a.;34887,8235943012;34091,7468192333;n.a.;13562,6357302821;18314,3194285715;2214,7916603797;71,9201258768;199,8227705924;2086,8890156641;506,5212589681;n.a.;n.a.;1580,367756696;n.a.;n.a.;15749,1682723006;2565,151156271;n.a.;209;0,13393; U;DK;31.12.;DK59781812
GEO;EUR/DKK;2011;14783,2359069497;330,9017154474;14452,3341915023;0;18339,891296439;701,215708385;5540,8550661414;12097,8205219126;7783,3194963134;33123,1272033887;15265,86816509;1345,1289245828;13920,7392405072;8473,2361217319;6743,2658118259;1729,9703099059;2056,4330999022;9384,0229165669;n.a.;1818,4797931435;n.a.;33123,1272033887;33780,6262217247;n.a.;13792,2794282095;17715,6169625401;2272,7298309751;101,1536951286;362,3777322826;2011,5057938211;505,9029885356;n.a.;n.a.;1505,6028052855;n.a.;n.a.;15268,2893971542;2447,3275653859;n.a.;198;0,13451; U;DK;31.12.;DK59781812
BURMEISTER & WAIN ENERGY A/S;EUR/DKK;2013;1786,9547760173;1198,9838252759;151,1121513867;436,8587993547;24188,9293250798;124,7211107633;5209,2163179724;18854,9918963441;14164,7547224073;25975,8841010971;10608,9304012567;6644,6477914731;3964,2826097837;1413,863161113;n.a.;n.a.;1413,863161113;13953,0905387273;n.a.;1366,9755254877;n.a.;25975,8841010971;43834,1788287202;n.a.;30027,7796071635;13206,2374855527;600,161736004;296,0619278056;371,4840388257;524,7396249839;71,8050648433;n.a.;n.a.;452,9345601405;n.a.;n.a.;12899,8602779096;306,3772076431;n.a.;140;0,13396; U;DK;31.12.;DK26159946
BURMEISTER & WAIN ENERGY A/S;EUR/DKK;2012;1472,5545326163;908,1757422165;130,7151636047;433,663626795;30109,3540018305;115,0454155086;4961,1493907871;25033,1591955347;18093,201872105;31581,9085344467;10153,3271188878;6642,9017569592;3510,4253619286;1287,8657922363;n.a.;n.a.;1287,8657922363;20140,4477643808;n.a.;3083,1903497371;n.a.;31581,9085344467;42358,4094814622;n.a.;29285,4198968141;12787,4519526756;285,5376319725;312,055667212;195,2691685816;402,3241306029;110,8936019105;n.a.;n.a.;291,4305286924;n.a.;n.a.;12512,6286783756;274,8232743;n.a.;138;0,13393; U;DK;31.12.;DK26159946
BURMEISTER & WAIN ENERGY A/S;EUR/DKK;2011;1172,6833964513;602,6177582131;138,4137663396;431,6518718986;20279,8362314723;135,5889955979;3019,2763841185;17124,9708517558;7813,9884357938;21452,5196279236;9910,1028389712;6671,8394659306;3238,2633730406;1232,5416335952;n.a.;n.a.;1232,5416335952;10309,8751553572;n.a.;3196,9679150559;n.a.;21452,5196279236;25737,5623300745;n.a.;12895,0784355128;12692,2329936857;150,2509008759;145,4084367474;266,3355270674;29,3238105559;11,8371345363;n.a.;n.a.;17,4866760196;n.a.;n.a.;12301,7420668794;390,4909268064;n.a.;135;0,13451; U;DK;31.12.;DK26159946
RIIS RETAIL A/S;EUR/DKK;2013;764,4192278437;0;424,3214117889;340,0978160548;26434,4631390832;7130,4416920966;5597,0650394917;13706,9564074949;47,1171621143;27198,8823669269;6179,8229142543;66,7381899637;6113,0847242907;3153,5129521625;123,065222293;3030,4477298696;351,8437374884;17865,8134532699;n.a.;3018,3013792962;n.a.;27198,8823669269;36577,8671552789;n.a.;27905,3728458822;9670,6306784932;-998,1363690964;40,309866738;423,2536007495;-1381,0801031078;-343,0342964132;n.a.;n.a.;-1038,0458066947;n.a.;n.a.;9451,9963681723;218,6343103209;n.a.;141;0,13348; D;DK;30.06.;DK19729001
RIIS RETAIL A/S;EUR/DKK;2012;530,8481300095;0;530,8481300095;0;19465,2834453798;5136,1507236781;7338,5112752204;6990,6214464813;283,7198951318;19996,1315753893;7813,1266332218;67,2640813494;7745,8625518724;1133,3997707375;139,5057047187;993,8940660189;627,0357663392;11049,7396995926;n.a.;3448,8985071095;n.a.;19996,1315753893;46663,5147390129;n.a.;36139,3765710845;9339,8867516907;1184,2514162377;217,532039084;361,8807576598;1039,9026976619;263,1370862389;n.a.;n.a.;776,765611423;n.a.;n.a.;9130,8299868567;209,056764834;n.a.;150;0,13453; D;DK;30.06.;DK19729001
RIIS RETAIL A/S;EUR/DKK;2011;541,5109607512;0;541,5109607512;0;24011,7677763338;5749,7497060596;5599,9928991373;12662,025171137;2327,330717425;24553,278737085;9961,9783183102;67,0352761514;9894,9430421587;2008,2428029442;154,7174173575;1853,5253855868;932,9969734755;12582,9235452783;n.a.;5240,2816073088;n.a.;24553,278737085;58324,3101566471;n.a.;45248,1410494466;9891,5912783512;3184,5778288493;802,1441144279;69,7166871975;3917,0052560797;896,5297832491;n.a.;n.a.;3020,4754728307;n.a.;n.a.;9682,8434284156;208,7478499355;n.a.;137;0,13407; D;DK;30.06.;DK19729001
DANGRO INVEST A/S;EUR/DKK;2013;183049,731375245;507,5921468123;171041,807891602;11500,3313368306;28929,269286799;13210,6583197688;1357,7319630359;14360,8790039943;2970,264734527;211979,000662044;113070,20313381;67909,77404026;45160,4290935505;82146,3338275106;n.a.;n.a.;2107,398274348;16762,7316300694;n.a.;7381,3195294833;n.a.;211979,000662044;31664,6939491798;n.a.;20866,8733586897;4188,6734374191;6609,147153071;513,4865924338;4484,0655418586;2638,5682036462;-351,6572671899;n.a.;n.a.;2990,2254708361;n.a.;n.a.;3877,339536867;74,7522876541;n.a.;216;0,13396;A-;DK;31.12.;DK19950530
DANGRO INVEST A/S;EUR/DKK;2012;186050,535240152;427,5028711333;179727,85884813;5895,1735208886;26789,6442064726;12678,0315749451;1536,3049607677;12575,3076707598;4476,5925650476;212840,179446625;105310,617986323;67891,9291803034;37418,6888060201;90852,2619546192;n.a.;n.a.;3057,8776797358;16677,1655762113;n.a.;1489,6975048923;n.a.;212840,179446625;34000,674779017;n.a.;21640,5917680038;4667,0402726766;7693,0427383366;4325,3861923943;4758,3801718348;7260,182688367;1765,9940033723;n.a.;n.a.;5494,1886849947;n.a.;n.a.;4246,7695929722;2604,3924912466;n.a.;226;0,13393;A-;DK;31.12.;DK19950530
DANGRO INVEST A/S;EUR/DKK;2011;170242,475978831;497,8322149881;167404,657486639;2339,9862772042;20707,8562552745;13304,4011672634;373,8113281416;7029,6437598696;1529,815125928;190950,332234105;89738,2585101533;67903,7222676483;21834,5362425051;74521,4875508106;n.a.;n.a.;2034,7765242164;26690,7206860338;n.a.;3638,0356894266;n.a.;190950,332234105;25875,0345061668;n.a.;14015,5708296903;5703,0776144461;6156,3860620305;940,3796311758;6198,3540844775;898,4116087288;-129,6704283298;n.a.;n.a.;1028,0820370586;n.a.;n.a.;4072,5123320668;1630,5652823793;n.a.;210;0,13451;A-;DK;31.12.;DK19950530
EUROPEAN ENERGY A/S;EUR/DKK;2013;116971,38838251;12195,4740261441;50180,4872929431;54595,2930987494;30910,4728389783;17445,6835341204;n.a.;n.a.;5111,0202125056;147881,727256815;54205,32193502;1340,3165555179;52865,0053795021;52183,9289808761;23772,9690147466;28410,9599661295;932,2601609045;41492,610305592;n.a.;3345,633748876;n.a.;147881,727256815;29969,2370449685;n.a.;13259,8233548388;7706,5857560498;9002,8279340799;2006,3889107438;4268,918276675;6740,4325328219;776,1913166088;n.a.;n.a.;5964,2412162131;n.a.;n.a.;3915,7873980798;1651,3825267236;n.a.;41;0,13396; D;DK;31.12.;DK18351331
EUROPEAN ENERGY A/S;EUR/DKK;2012;111429,051935213;250,9838284787;51879,053779788;59299,0143269464;25586,0200514365;7472,059111341;3878,0617595668;14235,8991805287;6298,0333693752;137014,938057179;47782,0173352892;1339,9643564189;46442,0529788704;47868,9375619075;n.a.;n.a.;762,996195754;41363,9831599819;n.a.;5256,0620857231;n.a.;137014,938057179;35682,0253567764;n.a.;20554,0219705399;7297,0132928663;7830,9900933702;2818,0099973423;4624,986418812;6024,0136719006;445,9851381184;n.a.;n.a.;5578,0285337822;n.a.;n.a.;3362,0315081643;1699,9667742154;n.a.;38;0,13393; D;DK;31.12.;DK18351331
EUROPEAN ENERGY A/S;EUR/DKK;2011;107354,066906489;269,9673751638;59419,0525500575;47665,0469812682;35619,9555131992;10172,9410308347;7256,0289578769;18190,9855244877;7737,0470613077;142974,022419689;42956,0196420888;1340,0174346694;41616,0022074195;57163,9439079944;n.a.;n.a.;2148,9779699135;42854,0588696054;n.a.;7622,9801285031;n.a.;142974,022419689;56592,936679509;n.a.;45084,955191026;7873,039595583;3634,9418929001;2519,9645273134;6438,0560588381;16,9486244497;-1108,1172080713;n.a.;n.a.;1125,065832521;n.a.;n.a.;3111,9557670223;3012,954278173;n.a.;39;0,13451; D;DK;31.12.;DK18351331
OSTERBERG HOLDING APS;EUR/DKK;2013;5210,2430848019;0;5210,2430848019;0;10304,503353495;4659,0230188793;4387,6366376029;1257,8436970129;395,8165007549;15514,7464382969;2990,0772245376;17,8331960028;2972,2440285348;3561,5440017116;n.a.;n.a.;35,1300552838;8963,1252120478;n.a.;2342,8528853967;n.a.;15514,7464382969;29797,9296789536;n.a.;23362,0231004523;4364,7082427421;2071,1983357593;99,2222935497;778,0904992821;1392,3301300268;319,2544337051;n.a.;n.a.;1073,0756963217;n.a.;n.a.;3719,3610821277;380,3968200006;n.a.;244;0,13408; U;DK;30.09.;DK21210498
OSTERBERG HOLDING APS;EUR/DKK;2012;4302,4971893736;0;4302,4971893736;0;9768,0380900999;4360,1732124254;3837,8698780917;1569,9949995828;750,9954722481;14070,5352794735;2278,7394316884;17,8393280602;2260,9001036282;3864,9641958974;n.a.;n.a.;n.a.;7926,8316518877;n.a.;1984,0551929799;n.a.;14070,5352794735;24780,9727601816;n.a.;18608,1628604976;4869,0635181423;1303,7463815417;504,4640062735;898,2705264593;910,073991642;316,5474753537;n.a.;n.a.;593,5265162883;n.a.;n.a.;3408,6529623578;350,6165680401;n.a.;195;0,13413; U;DK;30.09.;DK21210498
OSTERBERG HOLDING APS;EUR/DKK;2011;3058,7351136479;0;3058,7351136479;0;9159,4079642103;4086,600190719;3489,2854740788;1583,5222994125;718,7933451763;12218,1430778581;1768,9653385494;17,8724088444;1751,092929705;2680,7269476391;n.a.;n.a.;n.a.;7768,4507916696;n.a.;1913,9602945122;n.a.;12218,1430778581;20987,8519018532;n.a.;16220,4876268823;3938,3801384234;828,9841365475;379,4863351613;785,1765780267;423,4282726959;136,6634571031;n.a.;n.a.;286,7648155929;n.a.;n.a.;3123,5057983319;315,9250616021;n.a.;174;0,13438; U;DK;30.09.;DK21210498
CEMENT PLANT CONSULTANTS A/S;EUR/DKK;2013;0;n.a.;n.a.;n.a.;21963,374208956;n.a.;8314,3834784271;n.a.;7209,8447477679;21963,374208956;2379,6144903213;133,9646732152;2245,6498171061;257,748031266;n.a.;n.a.;257,748031266;19326,0116873687;n.a.;1774,2281320619;n.a.;21963,374208956;26557,0228535046;n.a.;25641,2403474056;691,7935724832;223,9889336158;44,6102361807;62,8294317379;205,7697380585;102,4829750096;n.a.;n.a.;103,2867630489;n.a.;n.a.;3461,6471558803;n.a.;n.a.;39;0,13396;A-;DK;31.12.;DK15109130
CEMENT PLANT CONSULTANTS A/S;EUR/DKK;2012;0;n.a.;n.a.;n.a.;15507,2916478435;n.a.;7219,7359881533;n.a.;4449,9406003373;15507,2916478435;2290,4618114419;133,9294709064;2156,5323405354;378,7525437234;n.a.;n.a.;378,7525437234;12838,0772926783;n.a.;2304,5244058871;n.a.;15507,2916478435;22193,7204828474;n.a.;21089,204136282;712,7726441641;391,7437024013;28,2591183613;88,1255918564;331,8772289061;118,2597228104;n.a.;n.a.;213,6175060958;n.a.;n.a.;3072,4759920646;n.a.;n.a.;37;0,13393;A-;DK;31.12.;DK15109130
CEMENT PLANT CONSULTANTS A/S;EUR/DKK;2011;0;n.a.;n.a.;n.a.;12910,2783923606;n.a.;7901,0182772143;n.a.;3368,6063658327;12910,2783923606;2119,5196464651;134,5128924583;1985,0067540068;261,6275758314;n.a.;n.a.;261,6275758314;10529,1311700642;n.a.;2275,5546017167;n.a.;12910,2783923606;19856,6586717986;n.a.;18861,5322933922;571,0072284854;424,119149921;49,5007444246;22,0601143632;451,5597799824;29,9963750182;n.a.;n.a.;421,5634049642;n.a.;n.a.;3394,1638153997;n.a.;n.a.;36;0,13451;A-;DK;31.12.;DK15109130
EKJ RADGIVENDE INGENIORER A/S;EUR/DKK;2013;2283,9637136457;983,1667367262;599,4919126379;701,3050642815;17147,3442068701;n.a.;6373,3693282123;n.a.;1919,3118731539;19431,3079205158;10382,2621741766;160,7576078582;10221,5045663184;2486,9201935667;n.a.;n.a.;2486,9201935667;6562,1255527725;n.a.;1234,2165343315;n.a.;19431,3079205158;24857,5470090968;n.a.;6009,6552404331;16559,5072208019;2288,3845478618;671,4309421545;382,7370713758;2577,0784186405;686,702914901;n.a.;n.a.;1890,3755037394;n.a.;n.a.;16019,763552418;539,743668384;n.a.;206;0,13396; D;DK;31.12.;DK83175419
EKJ RADGIVENDE INGENIORER A/S;EUR/DKK;2012;2330,2388643011;1029,9176312705;733,6656416255;566,6555914051;15609,4798341451;n.a.;5909,7718332174;n.a.;1163,8471021769;17939,7186984462;8811,889538289;160,7153650877;8651,1741732013;2020,7278570363;n.a.;n.a.;2020,7278570363;7107,1013031209;n.a.;822,9965987201;n.a.;17939,7186984462;21985,5940850588;n.a.;5233,1601461981;16171,8496824813;580,5842563794;801,7018128459;145,1795464626;1237,1065227628;340,716573986;n.a.;n.a.;896,3899487768;n.a.;n.a.;15639,3461061573;532,503576324;n.a.;197;0,13393; D;DK;31.12.;DK83175419
EKJ RADGIVENDE INGENIORER A/S;EUR/DKK;2011;2270,7121375882;1050,9492287765;903,6576115347;316,105297277;15395,1350547424;n.a.;5729,3076284754;n.a.;185,7623044849;17665,8471923306;7949,9809700692;161,4154709499;7788,5654991192;1649,1280615385;n.a.;n.a.;1649,1280615385;8066,6036478305;n.a.;2374,8251163509;n.a.;17665,8471923306;12209,0626839756;n.a.;4227,6056970712;7773,9035938413;207,5533930631;186,972920517;341,2592081667;53,132592521;71,5608587878;n.a.;n.a.;-18,4282662668;n.a.;n.a.;7424,9771508045;348,9264430368;n.a.;184;0,13451; D;DK;31.12.;DK83175419
APPLUS DANMARK A/S;EUR/DKK;2013;23805,1205363183;12016,095328709;11439,3774105176;349,6477970916;3563,7282368703;274,4936154179;1557,8751848194;1731,359436633;631,911363556;27368,8487731886;9281,3404896943;47173,3822732818;-37892,0417835876;13094,9128421109;n.a.;n.a.;n.a.;4992,5954413834;n.a.;1065,5550107536;n.a.;27368,8487731886;24158,5193442599;n.a.;21522,0945753851;3837,9539229418;-1201,529154067;1,4736114054;1151,5603309577;-2351,6158736193;0;n.a.;n.a.;-2351,6158736193;n.a.;n.a.;14181,9022005789;2885,1971670354;n.a.;226;0,13396; D;DK;31.12.;DK28312725
APPLUS DANMARK A/S;EUR/DKK;2012;26145,7113103545;14160,0950999957;11985,6162103588;0;4865,6576780308;285,6715614434;2154,9251868846;2425,0609297028;2388,8999725581;31011,3689883853;11629,8995356313;47160,9863786961;-35531,0868430648;14582,7765101764;n.a.;n.a.;n.a.;4798,6929425776;n.a.;535,4500246839;n.a.;31011,3689883853;25122,3562231584;n.a.;22327,2481653411;16154,0370628507;-13358,9290050334;41,7859949228;1498,4029205012;-14815,5459306118;0;n.a.;n.a.;-14815,5459306118;n.a.;n.a.;14700,768374045;2991,9843800498;n.a.;238;0,13393; D;DK;31.12.;DK28312725
APPLUS DANMARK A/S;EUR/DKK;2011;40783,6364288876;28227,6649952621;12555,9714336255;0;3737,8442556306;354,4414716276;2186,7760926942;1196,6266913088;561,7258389058;44521,4806845183;14454,6209106741;47366,4283600108;-32911,8074493367;16932,0793639707;n.a.;n.a.;n.a.;13134,7804098735;n.a.;511,9560686962;n.a.;44521,4806845183;26239,1609060514;n.a.;23546,0782861442;4450,4935598746;-1757,4109399674;48,9626928548;1471,3020177087;-3179,7502648212;0;n.a.;n.a.;-3179,7502648212;n.a.;n.a.;15301,9176202688;1582,947718449;n.a.;250;0,13451; D;DK;31.12.;DK28312725
ZACCO DENMARK A/S;EUR/DKK;2013;3395,2006779656;89,3544370345;84,1298147791;3221,7164261519;6849,2118474726;n.a.;4543,0099980733;n.a.;1028,5807609462;10244,4125254382;2902,4786098801;147,3611405367;2755,1174693434;709,744838694;n.a.;n.a.;385,9522235329;6632,189076864;n.a.;1233,5467109654;n.a.;10244,4125254382;21928,0075352271;n.a.;12263,5280801375;11058,2479152205;-1393,7684601308;463,5177693245;512,2809103749;-1442,5316011811;-341,2080226791;n.a.;n.a.;-1101,323578502;n.a.;n.a.;10971,5727716502;86,6751435702;n.a.;102;0,13396; D;DK;31.12.;DK24257460
ZACCO DENMARK A/S;EUR/DKK;2012;2912,8320627441;143,0366749281;340,9844329278;2428,8109548882;8180,6799419069;n.a.;5773,5655613056;n.a.;220,1800501702;11093,512004651;4002,7500969807;147,3224179971;3855,4276789836;1026,301535556;0;1026,301535556;376,475742718;6064,4603721143;n.a.;3113,4584101619;n.a.;11093,512004651;26241,4708820526;n.a.;15285,7723029643;10740,7417782835;214,9568008048;340,4487150442;397,904458063;157,501057786;41,2502770392;n.a.;n.a.;116,2507807468;n.a.;n.a.;10655,6965642579;85,0452140256;n.a.;144;0,13393; D;DK;31.12.;DK24257460
ZACCO DENMARK A/S;EUR/DKK;2011;3590,2836126039;0;84,4740964638;3505,8095161401;7651,2278359193;n.a.;5728,6350640132;n.a.;475,3685619476;11241,5114485232;3903,4296262468;147,9641817041;3755,4654445427;1042,3404036592;n.a.;n.a.;389,6838494516;6295,8759315097;n.a.;2825,3087931937;n.a.;11241,5114485232;28818,8491576162;n.a.;17203,2573551666;10731,8420989988;883,7497034509;670,8157946894;366,1440932714;1188,4214048689;296,8699536554;n.a.;n.a.;891,5514512135;n.a.;n.a.;10444,253534923;287,4540511833;n.a.;134;0,13451; D;DK;31.12.;DK24257460
LYNGSO MARINE A/S;EUR/DKK;2013;293,248669668;0;216,620876589;76,6277930791;14690,0302060841;3214,3483691251;1944,3632670452;9531,3185699138;5154,1568372809;14983,2788757521;6795,3580488401;2143,4347714429;4651,9232773972;1424,446370297;n.a.;n.a.;1424,446370297;6763,4744566149;n.a.;719,1223658191;n.a.;14983,2788757521;19840,3020678417;n.a.;8906,1054400186;7960,1808824461;2974,0157453771;2,4113641179;112,1284314811;2864,2986780138;762,660884614;n.a.;n.a.;2101,6377933998;n.a.;n.a.;5525,3729467602;60,2841029468;n.a.;60;0,13396; D;DK;31.12.;DK63053112
